ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	BORROWING	NOTE
602	Wayana	FIRE	wapoto	wapoto	w a p o t o	w a p o - t o	200		
603	Werikyana	FIRE	wehoto	wehoto	w e h o t o	w e h o - t o	200		
604	Yawarana	FIRE	wahto	wahto	w a h t o	w a h - - t o	200		
605	Ye'kwana	FIRE	waaʔto	waaʔto	w a a ʔ t o	w a - a ʔ t o	200		
606	Yukpa	FIRE	weta	weta	w e t a	w e - - - t a	200		
607	Akawaio	FISH	moroʔ	moroʔ	m o r o ʔ	m o r o ʔ -	203		
608	Akuriyó	FISH	kana	kana	k a n a	k a n a	205		
609	Apalaí	FISH	kana	kana	k a n a	k a n a	205		
610	Arara	FISH	wot	wot	w o t	w o t -	204		
611	Bakairi	FISH	kãrã	kãrã	k ã r ã	k ã r ã	205		
612	Hixkaryána	FISH	kana	kana	k a n a	k a n a	205		
613	Ikpeng	FISH	wot	wot	w o t	w o t -	204		
614	Ingarikó	FISH	moroʔ	moroʔ	m o r o ʔ	m o r o ʔ -	203		
615	Kari'ña	FISH	woto	woto	w o t o	w o t o	204		
616	Karijona	FISH	ikut͡ʃa	ikut͡ʃa	i k u t͡ʃ a	i k u t͡ʃ a	210		
617	Kuikuro	FISH	kaŋa	kaŋa	k a ŋ a	k a ŋ a	205		
618	Macushi	FISH	moroʔ	moroʔ	m o r o ʔ	m o r o ʔ -	203		
619	Mapoyo	FISH	moroko	moroko	m o r o k o	m o r o k o	203		
620	Panare	FISH	kana	kana	k a n a	k a n a	205		
621	Pemón	FISH	moroʔ	moroʔ	m o r o ʔ	m o r o ʔ -	203		
622	Tamanaku	FISH	woto	woto	w o t o	w o t o	204		
623	Tiriyó	FISH	kana	kana	k a n a	k a n a	205		
624	Waimiri-Atroari	FISH	ʃiba	ʃiba	ʃ i b a	ʃ i b a	208		
625	Waiwai	FISH	ootɨ	ootɨ	o o t ɨ	o o t ɨ	206		
626	Wayana	FISH	ka	ka	k a	k a - -	205		
627	Werikyana	FISH	kutma	kutma	k u t m a	k u t m a	211		
628	Yawarana	FISH	moroko	moroko	m o r o k o	m o r o k o	203		
629	Ye'kwana	FISH	naʔkwakano	naʔkwakano	n a ʔ k w a k a n o	n a ʔ k w a k a n o	207		
630	Yukpa	FISH	poʃe	poʃe	p o ʃ e	p o ʃ e	209		
631	Akawaio	FLESH	pun	pun	p u n	p u - n -	212		
632	Akuriyó	FLESH	puunu	puunu	p u u n u	p u u n u	212		
633	Apalaí	FLESH	pu	pu	p u	p u - - -	212		
634	Arara	FLESH	munu	munu	m u n u	m u - n u	212		
635	Bakairi	FLESH	ũrũ	ũrũ	ũ r ũ	- ũ - r ũ	212		
636	Hixkaryána	FLESH	hun	hun	h u n	h u - n -	212		
637	Ikpeng	FLESH	mnu	mnu	m n u	m - - n u	212		
638	Ingarikó	FLESH	pun	pun	p u n	p u - n -	212		
639	Kari'ña	FLESH	pun	pun	p u n	p u - n -	212		
640	Karijona	FLESH	bunu	bunu	b u n u	b u - n u	212		
641	Kuikuro	FLESH	huŋu	huŋu	h u ŋ u	h u - ŋ u	212		
642	Macushi	FLESH	pun	pun	p u n	p u - n -	212		
643	Mapoyo	FLESH	punu	punu	p u n u	p u - n u	212		
644	Panare	FLESH	-pu	pu	p u	p u - - -	212		
645	Pemón	FLESH	pun	pun	p u n	p u - n -	212		
646	Tamanaku	FLESH	punu	punu	p u n u	p u - n u	212		
647	Tiriyó	FLESH	pun	pun	p u n	p u - n -	212		
648	Waimiri-Atroari	FLESH	pɨnɨ	pɨnɨ	p ɨ n ɨ	p ɨ - n ɨ	212		
649	Waiwai	FLESH	ɸun	ɸun	ɸ u n	ɸ u - n -	212		
650	Wayana	FLESH	punu	punu	p u n u	p u - n u	212		
651	Werikyana	FLESH	hunu	hunu	h u n u	h u - n u	212		
652	Yawarana	FLESH	puunu	puunu	p u u n u	p u u n u	212		
653	Ye'kwana	FLESH	hunu	hunu	h u n u	h u - n u	212		
654	Yukpa	FLESH	pu	pu	p u	p u - - -	212		
655	Akawaio	FLY (MOVE THROUGH AIR)	ariwomɨ	ariwomɨ	a r i w o m ɨ	- a r i w o m ɨ	213		
656	Apalaí	FLY (MOVE THROUGH AIR)	pokõ	pokõ	p o k õ	p o k õ	217		
657	Arara	FLY (MOVE THROUGH AIR)	alumɨ	alumɨ	a l u m ɨ	- a l - - u m ɨ	213		
658	Bakairi	FLY (MOVE THROUGH AIR)	awəgɨ	awəgɨ	a w ə g ɨ	a w ə g ɨ	215		
659	Hixkaryána	FLY (MOVE THROUGH AIR)	ɸohɸo ka	ɸohɸo ka	ɸ o h ɸ o + k a	ɸ o h ɸ o + k a	219		
660	Ikpeng	FLY (MOVE THROUGH AIR)	awm	awm	a w m	- a - - w - m -	213		
661	Ingarikó	FLY (MOVE THROUGH AIR)	ariwomɨ	ariwomɨ	a r i w o m ɨ	- a r i w o m ɨ	213		
662	Kari'ña	FLY (MOVE THROUGH AIR)	arirumɨ	arirumɨ	a r i r u m ɨ	- a r i r u m ɨ	213		
663	Karijona	FLY (MOVE THROUGH AIR)	kawədəketɨ	kawədəketɨ	k a w ə d ə k e t ɨ	k a w ə d ə k e t ɨ	216		
664	Kuikuro	FLY (MOVE THROUGH AIR)	alun	alun	a l u n	- a l - - u n -	213		
665	Macushi	FLY (MOVE THROUGH AIR)	awainamu	awainamu	a w a i n a m u	a w a i n a m u	218		
666	Mapoyo	FLY (MOVE THROUGH AIR)	jarini	jarini	j a r i n i	j a r - - i n i	213		
667	Panare	FLY (MOVE THROUGH AIR)	tapəke tə	tapəke tə	t a p ə k e + t ə	t a - p ə k e + t ə	214		
668	Pemón	FLY (MOVE THROUGH AIR)	ariwomɨ	ariwomɨ	a r i w o m ɨ	- a r i w o m ɨ	213		
669	Tiriyó	FLY (MOVE THROUGH AIR)	wajan	wajan	w a j a n	w a j a n	222		
670	Waimiri-Atroari	FLY (MOVE THROUGH AIR)	wanɨk	wanɨk	w a n ɨ k	w a n ɨ k	224		
671	Waiwai	FLY (MOVE THROUGH AIR)	arɨ	arɨ	a r ɨ	- a r - - ɨ - -	213		
672	Wayana	FLY (MOVE THROUGH AIR)	ətupap	ətupap	ə t u p a p	ə t u p a p	223		
673	Werikyana	FLY (MOVE THROUGH AIR)	werewere	werewere	w e r e w e r e	w e r e w e r e	221		
674	Yawarana	FLY (MOVE THROUGH AIR)	təppəkə	təppəkə	t ə p p ə k ə	t ə p p ə k ə - - -	214		
675	Ye'kwana	FLY (MOVE THROUGH AIR)	anɲɨmɨ	anɲɨmɨ	a n ɲ ɨ m ɨ	a n ɲ ɨ m ɨ	220		
676	Yukpa	FLY (MOVE THROUGH AIR)	ami	ami	a m i	- a - - - - m i	213		
677	Akawaio	FOOT	pɨta	pɨta	p ɨ t a	p ɨ - t a	226		
678	Akuriyó	FOOT	pupu	pupu	p u p u	- p u - p u	225		
679	Apalaí	FOOT	puupu	puupu	p u u p u	- p u u p u	225		
680	Arara	FOOT	pu	pu	p u	- p u - - -	225		
681	Bakairi	FOOT	hu	hu	h u	h - u - - -	225		
682	Hixkaryána	FOOT	hro	hro	h r o	h r o	230		
683	Ikpeng	FOOT	pu	pu	p u	- p u - - -	225		
684	Ingarikó	FOOT	pɨta	pɨta	p ɨ t a	p ɨ - t a	226		
685	Kari'ña	FOOT	pupu	pupu	p u p u	- p u - p u	225		
686	Karijona	FOOT	huhu	huhu	h u h u	h - u - h u	225		
687	Kuikuro	FOOT	tapɨ	tapɨ	t a p ɨ	t a - p ɨ	226		
688	Macushi	FOOT	pu	pu	p u	- p u - - -	225		
689	Mapoyo	FOOT	ta	ta	t a	- - - t a	226		
690	Panare	FOOT	pata	pata	p a t a	p a - t a	226		
691	Pemón	FOOT	pɨta	pɨta	p ɨ t a	p ɨ - t a	226		
692	Tamanaku	FOOT	puita	puita	p u i t a	p u i t a	226		
693	Tiriyó	FOOT	hpu	hpu	h p u	h p u - - -	225		
694	Waimiri-Atroari	FOOT	se	se	s e	s e	227		
695	Waiwai	FOOT	hta	hta	h t a	h - - t a	226		
696	Wayana	FOOT	pupu	pupu	p u p u	- p u - p u	225		
697	Werikyana	FOOT	huhu	huhu	h u h u	h - u - h u	225		
698	Yawarana	FOOT	əstakunu	əstakunu	ə s t a k u n u	ə s t a k u n u	229		
699	Ye'kwana	FOOT	uhu	uhu	u h u	- - u - h u	225		
700	Yukpa	FOOT	peʃe	peʃe	p e ʃ e	p e ʃ e	228		
701	Akawaio	FULL	anɨpɨ	anɨpɨ	a n ɨ p ɨ	a n ɨ p ɨ	241		
702	Apalaí	FULL	peʔ-me	peʔme	p e ʔ m e	p e - - - - ʔ - m e	232		
703	Arara	FULL	t-udu	tudu	t u d u	t u d u	236		
704	Bakairi	FULL	t-umɨ-ke	tumɨke	t u m ɨ k e	t u m ɨ k e	237		
705	Hixkaryána	FULL	t-wahu-rʲe	twahurʲe	t w a h u rʲ e	t w a h u rʲ e	234		
706	Ikpeng	FULL	t-otupi-t	totupit	t o t u p i t	t o t u p - i t	231		
707	Kari'ña	FULL	t-aʔno-se	taʔnose	t a ʔ n o s e	t a ʔ n o s e	240		
708	Karijona	FULL	tɨ-naho-ke	tɨnahoke	t ɨ n a h o k e	t ɨ n a h o k e	239		
709	Kuikuro	FULL	t-uɣupo-t͡si	tuɣupot͡si	t u ɣ u p o t͡s i	t u ɣ u p o t͡s i	243		
710	Macushi	FULL	i-nta-pɨkɨrɨ	intapɨkɨrɨ	i n t a p ɨ k ɨ r ɨ	- - - - - i n t a p ɨ k ɨ r ɨ	233		
711	Mapoyo	FULL	pekuʔ-je	pekuʔje	p e k u ʔ j e	p e - - k u ʔ - j e	232		
712	Panare	FULL	t-uʔ-ke; t-uʔ-ka	tuʔka	t u ʔ k a	t u ʔ - - k a -	231		
713	Panare	FULL	t-uʔ-ke; t-uʔ-ka	tuʔke	t u ʔ k e	t u ʔ - - k e -	231		
714	Pemón	FULL	i-nta pəkərə	inta pəkərə	i n t a + p ə k ə r ə	i n t a + - - - - p ə k ə r ə	233		
715	Tiriyó	FULL	t-ənnaa-se	tənnaase	t ə n n a a s e	t ə n n a a s e	238		
716	Waimiri-Atroari	FULL	pɨtaʔnɨ	pɨtaʔnɨ	p ɨ t a ʔ n ɨ	p ɨ t a ʔ n ɨ	244		
717	Waiwai	FULL	t͡ʃ-oɸo-ji	t͡ʃoɸoji	t͡ʃ o ɸ o j i	t͡ʃ o ɸ o j i	235		
718	Wayana	FULL	t-up-ke	tupke	t u p k e	t u - - p k e -	231		
719	Werikyana	FULL	t-anu-so	tanuso	t a n u s o	t a n u s o	242		
720	Yawarana	FULL	peekku-je-mu	peekkujemu	p e e k k u j e m u	p e e k k u j e m u	232		
721	Ye'kwana	FULL	t-uʔ-ke	tuʔke	t u ʔ k e	t u ʔ - - k e -	231		
722	Akawaio	GIVE	tɨrɨ	tɨrɨ	t ɨ r ɨ	t ɨ r ɨ	246		
723	Apalaí	GIVE	ekaro	ekaro	e k a r o	e k a r - - o	248		
724	Arara	GIVE	udu	udu	u d u	u d u	245		
725	Bakairi	GIVE	udu	udu	u d u	u d u	245		
726	Hixkaryána	GIVE	ɨmɨ	ɨmɨ	ɨ m ɨ	- ɨ m ɨ	247		
727	Ikpeng	GIVE	eru	eru	e r u	e r u	245		
728	Ingarikó	GIVE	tərɨ	tərɨ	t ə r ɨ	t ə r ɨ	246		
729	Kari'ña	GIVE	ɨrɨ	ɨrɨ	ɨ r ɨ	- ɨ r ɨ	246		
730	Karijona	GIVE	ekarama	ekarama	e k a r a m a	e k a r a m a	248		
731	Kuikuro	GIVE	tu	tu	t u	- t u	245		
732	Macushi	GIVE	tɨrɨ	tɨrɨ	t ɨ r ɨ	t ɨ r ɨ	246		
733	Mapoyo	GIVE	wahtu	wahtu	w a h t u	w a h t u	249		
734	Panare	GIVE	utu	utu	u t u	u t u	245		
735	Pemón	GIVE	irɨ	irɨ	i r ɨ	- i r ɨ	246		
736	Tamanaku	GIVE	u	u	u	- - u	245		
737	Tiriyó	GIVE	ekarama	ekarama	e k a r a m a	e k a r a m a	248		
738	Waimiri-Atroari	GIVE	rɨ	rɨ	r ɨ	- - r ɨ	246		
739	Waiwai	GIVE	ɨmɨ	ɨmɨ	ɨ m ɨ	- ɨ m ɨ	247		
740	Wayana	GIVE	ekarə	ekarə	e k a r ə	e k a r - - ə	248		
741	Werikyana	GIVE	mɨrɨ	mɨrɨ	m ɨ r ɨ	m ɨ r ɨ	247		
742	Yawarana	GIVE	turu	turu	t u r u	t u r u	246		
743	Ye'kwana	GIVE	utu	utu	u t u	u t u	245		
744	Yukpa	GIVE	utu	utu	u t u	u t u	245		
745	Akawaio	GOOD	wakɨ	wakɨ	w a k ɨ	w a k ɨ	252		
746	Akuriyó	GOOD	kure	kure	k u r e	- - - - k u r - - e	250		
747	Apalaí	GOOD	kure	kure	k u r e	- - - - k u r - - e	250		
748	Arara	GOOD	kure	kure	k u r e	- - - - k u r - - e	250		
749	Bakairi	GOOD	kõẽdə	kõẽdə	k õ ẽ d ə	k õ ẽ d ə	254		
750	Hixkaryána	GOOD	ohʃe	ohʃe	o h ʃ e	o h ʃ e	251		
751	Ikpeng	GOOD	kara-ke	karake	k a r a k e	- - - - k a r a k e	250		
752	Ingarikó	GOOD	wakɨ	wakɨ	w a k ɨ	w a k ɨ	252		
753	Kari'ña	GOOD	juʔpa	juʔpa	j u ʔ p a	j u ʔ p a	256		
754	Karijona	GOOD	kura-no	kurano	k u r a n o	- - - - k u r a n o	250		
755	Kuikuro	GOOD	atɨtɨ	atɨtɨ	a t ɨ t ɨ	a t ɨ t ɨ	259		
756	Macushi	GOOD	morɨ	morɨ	m o r ɨ	m o r ɨ	258		
757	Mapoyo	GOOD	noʔpe	noʔpe	n o ʔ p e	n o ʔ p e	253		
758	Panare	GOOD	kara	kara	k a r a	- - - - k a r - - a	250		
759	Pemón	GOOD	wakɨ	wakɨ	w a k ɨ	w a k ɨ	252		
760	Tamanaku	GOOD	patu-kuru	patukuru	p a t u k u r u	p a t u k u r - - u	250		
761	Tiriyó	GOOD	kure	kure	k u r e	- - - - k u r - - e	250		
762	Waimiri-Atroari	GOOD	kare-me	kareme	k a r e m e	- - - - k a r e m e	250		
763	Waiwai	GOOD	kɨrʲwa	kɨrʲwa	k ɨ rʲ w a	- - - - k ɨ rʲ - w a	250		
764	Wayana	GOOD	ipoke	ipoke	i p o k e	i p o k e	255		
765	Werikyana	GOOD	okt͡ʃe	okt͡ʃe	o k t͡ʃ e	o k t͡ʃ e	251		
766	Yawarana	GOOD	nohpe	nohpe	n o h p e	n o h p e	253		
767	Ye'kwana	GOOD	aasit͡ʃa	aasit͡ʃa	a a s i t͡ʃ a	a a s i t͡ʃ a	257		
768	Yukpa	GOOD	patu-me	patume	p a t u m e	p a t u m e	260		
769	Akawaio	GREEN	rora	rora	r o r a	r o - r a	262		
770	Apalaí	GREEN	ezu-ezu-me	ezuezume	e z u e z u m e	e z u e z u m e	270		
771	Arara	GREEN	paebra	paebra	p a e b r a	p a e b r a	264		
772	Bakairi	GREEN	t-ukuẽ-ĩ	tukuẽĩ	t u k u ẽ ĩ	t u k u ẽ ĩ	266		
773	Hixkaryána	GREEN	tɨ-swa-je	tɨswaje	t ɨ s w a j e	t ɨ s w a j e	261		
774	Ikpeng	GREEN	irwalɨ	irwalɨ	i r w a l ɨ	i r w a l ɨ	265		
775	Ingarikó	GREEN	roʔra	roʔra	r o ʔ r a	r o ʔ r a	262		
776	Kari'ña	GREEN	t-akenei-je	takeneije	t a k e n e i j e	t a k e n e i j e	271		
777	Karijona	GREEN	tɨ-wanahike-mɨ	tɨwanahikemɨ	t ɨ w a n a h i k e m ɨ	t ɨ w a n a h i k e m ɨ	268		
778	Kuikuro	GREEN	taɣɨ huŋu	taɣɨ huŋu	t a ɣ ɨ + h u ŋ u	t a ɣ ɨ + h u ŋ u	277		
779	Macushi	GREEN	rora	rora	r o r a	r o - r a	262		
780	Mapoyo	GREEN	t-uka-re	tukare	t u k a r e	t u k a r e	276		
781	Panare	GREEN	tu-kuʔja-ke	tukuʔjake	t u k u ʔ j a k e	t u k u ʔ j a k e	273		
782	Pemón	GREEN	rora	rora	r o r a	r o - r a	262		
783	Tamanaku	GREEN	rakeke	rakeke	r a k e k e	r a k e k e	274		
784	Tiriyó	GREEN	kurikuri-wetɨ	kurikuriwetɨ	k u r i k u r i w e t ɨ	k u r i k u r i w e t ɨ	267		
785	Waimiri-Atroari	GREEN	ʃakɨ	ʃakɨ	ʃ a k ɨ	ʃ a k ɨ	279		
786	Waiwai	GREEN	tɨ-ʃwa-je	tɨʃwaje	t ɨ ʃ w a j e	t ɨ ʃ w a j e	261		
787	Wayana	GREEN	tɨ-ju-re	tɨjure	t ɨ j u r e	t ɨ j u r e	269		
788	Werikyana	GREEN	t-uwanaʔ-ne	tuwanaʔne	t u w a n a ʔ n e	t u w a n a ʔ n e	263		
789	Yawarana	GREEN	jaharari	jaharari	j a h a r a r i	j a h a r a r i	275		
790	Ye'kwana	GREEN	seene	seene	s e e n e	s e e n e	272		
791	Yukpa	GREEN	ʃepe	ʃepe	ʃ e p e	ʃ e p e	278		
792	Akawaio	HAIR	siʔpok	siʔpok	s i ʔ p o k	s i ʔ - p o - k -	280		
793	Akuriyó	HAIR	hpotɨ	hpotɨ	h p o t ɨ	- - h - p o - t ɨ	280		
794	Apalaí	HAIR	uʔse	uʔse	u ʔ s e	u ʔ s e	283		
795	Arara	HAIR	retpu	retpu	r e t p u	- r e t p u -	281		
796	Bakairi	HAIR	ãga-hudu	ãgahudu	ã g a h u d u	ã g a h u d u	282		
797	Hixkaryána	HAIR	hpot͡ʃe	hpot͡ʃe	h p o t͡ʃ e	- - h - p o - t͡ʃ e	280		
798	Ikpeng	HAIR	eretput	eretput	e r e t p u t	e r e t p u t	281		
799	Kari'ña	HAIR	ɨpotɨ	ɨpotɨ	ɨ p o t ɨ	- ɨ - - p o - t ɨ	280		
800	Karijona	HAIR	ihotɨ	ihotɨ	i h o t ɨ	- i - - h o - t ɨ	280		
801	Kuikuro	HAIR	ipu	ipu	i p u	- i - - p u - - -	280		
802	Macushi	HAIR	siʔpo	siʔpo	s i ʔ p o	s i ʔ - p o - - -	280		
803	Mapoyo	HAIR	sipoti	sipoti	s i p o t i	s i - - p o - t i	280		
804	Panare	HAIR	iipohto	iipohto	i i p o h t o	- i - i p o h t o	280		
805	Pemón	HAIR	siʔpok	siʔpok	s i ʔ p o k	s i ʔ - p o - k -	280		
806	Tamanaku	HAIR	t͡ʃipoti	t͡ʃipoti	t͡ʃ i p o t i	t͡ʃ i - - p o - t i	280		
807	Tiriyó	HAIR	hpotɨ	hpotɨ	h p o t ɨ	- - h - p o - t ɨ	280		
808	Waimiri-Atroari	HAIR	jɨhia	jɨhia	j ɨ h i a	j ɨ h i a	285		
809	Waiwai	HAIR	hɸot͡ʃi	hɸot͡ʃi	h ɸ o t͡ʃ i	- - h - ɸ o - t͡ʃ i	280		
810	Wayana	HAIR	pupotɨ	pupotɨ	p u p o t ɨ	p u - - p o - t ɨ	280		
811	Werikyana	HAIR	ʔhot͡ʃi	ʔhot͡ʃi	ʔ h o t͡ʃ i	- - ʔ - h o - t͡ʃ i	280		
812	Yawarana	HAIR	t͡ʃipoti	t͡ʃipoti	t͡ʃ i p o t i	t͡ʃ i - - p o - t i	280		
813	Ye'kwana	HAIR	huuha	huuha	h u u h a	h u u h a	284		
814	Yukpa	HAIR	ptɨ	ptɨ	p t ɨ	- - - - p - - t ɨ	280		
815	Akawaio	HAND	mijaʔ	mijaʔ	m i j a ʔ	- - - m i j a ʔ	286		
816	Akuriyó	HAND	enja	enja	e n j a	- e - n - j a -	286		
817	Apalaí	HAND	oma; ema	ema	e m a	- e - m - - a -	286		
818	Apalaí	HAND	oma; ema	oma	o m a	- o - m - - a -	286		
819	Arara	HAND	emia	emia	e m i a	- e - m i - a -	286		
820	Bakairi	HAND	ema	ema	e m a	- e - m - - a -	286		
821	Hixkaryána	HAND	amo	amo	a m o	a m - o	287		
822	Ikpeng	HAND	mja	mja	m j a	- - - m - j a -	286		
823	Ingarikó	HAND	mijaʔ	mijaʔ	m i j a ʔ	- - - m i j a ʔ	286		
824	Kari'ña	HAND	aina	aina	a i n a	- a i n - - a -	286		
825	Karijona	HAND	əɲa	əɲa	ə ɲ a	- ə - ɲ - - a -	286		
826	Kuikuro	HAND	iɲatɨ	iɲatɨ	i ɲ a t ɨ	- i - ɲ a t ɨ -	286		
827	Macushi	HAND	enja	enja	e n j a	- e - n - j a -	286		
828	Mapoyo	HAND	jemekunu	jemekunu	j e m e k u n u	j e m e k u n u	288		
829	Panare	HAND	eɲa	eɲa	e ɲ a	- e - ɲ - - a -	286		
830	Pemón	HAND	jenna	jenna	j e n n a	j e - n - n a -	286		
831	Tamanaku	HAND	amɲa	amɲa	a m ɲ a	- a - m - ɲ a -	286		
832	Tiriyó	HAND	enja	enja	e n j a	- e - n - j a -	286		
833	Waimiri-Atroari	HAND	amɨɨ	amɨɨ	a m ɨ ɨ	a m ɨ ɨ	287		
834	Waiwai	HAND	amo	amo	a m o	a m - o	287		
835	Wayana	HAND	amo	amo	a m o	a m - o	287		
836	Werikyana	HAND	amo	amo	a m o	a m - o	287		
837	Yawarana	HAND	jemekunu	jemekunu	j e m e k u n u	j e m e k u n u	288		
838	Ye'kwana	HAND	amoo	amoo	a m o o	a m o o	287		
839	Yukpa	HAND	ema	ema	e m a	- e - m - - a -	286		
840	Akawaio	HEAD	puʔpə	puʔpə	p u ʔ p ə	- p - u ʔ - p - ə	289		
841	Akuriyó	HEAD	puupə	puupə	p u u p ə	- p - u - u p - ə	289		
842	Apalaí	HEAD	upuʔpu	upuʔpu	u p u ʔ p u	u p - u ʔ - p - u	289		
843	Arara	HEAD	munt͡ʃi	munt͡ʃi	m u n t͡ʃ i	m u n t͡ʃ i	290		
844	Bakairi	HEAD	ãgahu	ãgahu	ã g a h u	ã g a h u	292		
845	Hixkaryána	HEAD	jhuthu	jhuthu	j h u t h u	- j h u t - h - u	289		
846	Ikpeng	HEAD	momt͡ʃi	momt͡ʃi	m o m t͡ʃ i	m o m t͡ʃ i	290		
847	Ingarikó	HEAD	puʔpai	puʔpai	p u ʔ p a i	- p - u ʔ - p a i	289		
848	Kari'ña	HEAD	upu	upu	u p u	- - - - - u p - u	289		
849	Karijona	HEAD	hutuhə	hutuhə	h u t u h ə	- - h u t u h - ə	289		
850	Kuikuro	HEAD	ɣitɨ	ɣitɨ	ɣ i t ɨ	ɣ i t ɨ	293		
851	Macushi	HEAD	puʔpai	puʔpai	p u ʔ p a i	- p - u ʔ - p a i	289		
852	Mapoyo	HEAD	wastə	wastə	w a s t ə	w a - s t - - ə	291		
853	Panare	HEAD	pu	pu	p u	- - - - - - p - u	289		
854	Pemón	HEAD	puʔpai	puʔpai	p u ʔ p a i	- p - u ʔ - p a i	289		
855	Tamanaku	HEAD	prutpe	prutpe	p r u t p e	- p r u t - p - e	289		
856	Tiriyó	HEAD	putupə	putupə	p u t u p ə	- p - u t u p - ə	289		
857	Waimiri-Atroari	HEAD	ɨhɨ	ɨhɨ	ɨ h ɨ	- - - - - ɨ h - ɨ	289		
858	Waiwai	HEAD	htɨɸɨ	htɨɸɨ	h t ɨ ɸ ɨ	- - h - t ɨ ɸ - ɨ	289		
859	Wayana	HEAD	uputpɨ	uputpɨ	u p u t p ɨ	u p - u t - p - ɨ	289		
860	Werikyana	HEAD	hu	hu	h u	- - - - - - h - u	289		
861	Yawarana	HEAD	waisteri	waisteri	w a i s t e r i	w a i s t e r i	291		
862	Ye'kwana	HEAD	huʔhə	huʔhə	h u ʔ h ə	- - h u ʔ - h - ə	289		
863	Yukpa	HEAD	wasa	wasa	w a s a	w a - s - - - a	291		
864	Akawaio	HEAR	eta	eta	e t a	e - t - a -	294		
865	Apalaí	HEAR	eta	eta	e t a	e - t - a -	294		
866	Arara	HEAR	daŋ	daŋ	d a ŋ	- - d - a ŋ	294		
867	Bakairi	HEAR	ida	ida	i d a	i - d - a -	294		
868	Hixkaryána	HEAR	oɲt͡ʃa	oɲt͡ʃa	o ɲ t͡ʃ a	o ɲ t͡ʃ - a -	294		
869	Ikpeng	HEAR	iraŋ	iraŋ	i r a ŋ	i - r - a ŋ	294		
870	Ingarikó	HEAR	eta	eta	e t a	e - t - a -	294		
871	Kari'ña	HEAR	eta	eta	e t a	e - t - a -	294		
872	Karijona	HEAR	eta	eta	e t a	e - t - a -	294		
873	Kuikuro	HEAR	ta	ta	t a	- - t - a -	294		
874	Macushi	HEAR	eta	eta	e t a	e - t - a -	294		
875	Mapoyo	HEAR	eta	eta	e t a	e - t - a -	294		
876	Panare	HEAR	tja	tja	t j a	- - t j a -	294		
877	Pemón	HEAR	eta	eta	e t a	e - t - a -	294		
878	Tamanaku	HEAR	ita	ita	i t a	i - t - a -	294		
879	Tiriyó	HEAR	eta	eta	e t a	e - t - a -	294		
880	Waimiri-Atroari	HEAR	tee	tee	t e e	- - t e e -	294		
881	Waiwai	HEAR	enta	enta	e n t a	e n t - a -	294		
882	Wayana	HEAR	panakma	panakma	p a n a k m a	p a n a k m a	295		
883	Werikyana	HEAR	eta	eta	e t a	e - t - a -	294		
884	Yawarana	HEAR	eta	eta	e t a	e - t - a -	294		
885	Ye'kwana	HEAR	eta	eta	e t a	e - t - a -	294		
886	Yukpa	HEAR	eta	eta	e t a	e - t - a -	294		
887	Akawaio	HEART	ewan	ewan	e w a n	- e w - a n - -	296		
888	Akuriyó	HEART	ewaaʔne	ewaaʔne	e w a a ʔ n e	- e w a a ʔ n e	296		
889	Apalaí	HEART	oano	oano	o a n o	- o - - a n - o	296		
890	Arara	HEART	orebu	orebu	o r e b u	o r e b u	300		
891	Bakairi	HEART	ãgahu	ãgahu	ã g a h u	ã g a h u	305		
892	Hixkaryána	HEART	t͡ʃorojhutho	t͡ʃorojhutho	t͡ʃ o r o j h u t h o	t͡ʃ o r o j h u t h o	297		
893	Ikpeng	HEART	wɨn momt͡ʃi	wɨn momt͡ʃi	w ɨ n + m o m t͡ʃ i	w ɨ n + m o m t͡ʃ i	299		
894	Kari'ña	HEART	turu	turu	t u r u	t u r - - - - - - u	297		
895	Karijona	HEART	eremorohe	eremorohe	e r e m o r o h e	e r e m o r o h e	303		
896	Kuikuro	HEART	ŋu-noho	ŋunoho	ŋ u n o h o	ŋ u n o h o	298		
897	Macushi	HEART	ewan	ewan	e w a n	- e w - a n - -	296		
898	Mapoyo	HEART	ɲəniʔ	ɲəniʔ	ɲ ə n i ʔ	ɲ ə n i ʔ	304		
899	Panare	HEART	awa	awa	a w a	- a w - a - - -	296		
900	Pemón	HEART	jewan	jewan	j e w a n	j e w - a n - -	296		
901	Tamanaku	HEART	awani	awani	a w a n i	- a w - a n - i	296		
902	Tiriyó	HEART	ewanə	ewanə	e w a n ə	- e w - a n - ə	296		
903	Waimiri-Atroari	HEART	ba	ba	b a	b a	301		
904	Waiwai	HEART	t͡ʃoro	t͡ʃoro	t͡ʃ o r o	t͡ʃ o r - - - - - - o	297		
905	Wayana	HEART	ewanə	ewanə	e w a n ə	- e w - a n - ə	296		
906	Werikyana	HEART	toho	toho	t o h o	t o h o	302		
907	Yawarana	HEART	jawaani	jawaani	j a w a a n i	j a w a a - n i	296		
908	Ye'kwana	HEART	əwanɨ	əwanɨ	ə w a n ɨ	- ə w - a n - ɨ	296		
909	Yukpa	HEART	watru	watru	w a t r u	- - w - a t r u	296		
910	Akawaio	HORN (ANATOMY)	retɨ	retɨ	r e t ɨ	- r - - e t - ɨ	306		
911	Apalaí	HORN (ANATOMY)	retɨ	retɨ	r e t ɨ	- r - - e t - ɨ	306		
